"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Nick Chubb",CLE,"5","3 out of 5 stars","+4"
"2",1,"Christian McCaffrey",SF,"9","4 out of 5 stars","-1"
"3",1,"Austin Ekeler",LAC,"5","3 out of 5 stars","-1"
"4",1,"Bijan Robinson",ATL,"11","4 out of 5 stars","-1"
"5",2,"Derrick Henry",TEN,"7","4 out of 5 stars","+1"
"6",2,"Saquon Barkley",NYG,"13","2 out of 5 stars","-2"
"7",2,"Jonathan Taylor",IND,"11","3 out of 5 stars","+1"
"8",2,"Tony Pollard",DAL,"7","3 out of 5 stars","-1"
"9",2,"Josh Jacobs",LV,"13","3 out of 5 stars","0"
"10",3,"Najee Harris",PIT,"6","3 out of 5 stars","+1"
"11",3,"Travis Etienne Jr.",JAC,"9","2 out of 5 stars","+2"
"12",3,"Joe Mixon",CIN,"7","3 out of 5 stars","0"
"13",3,"Rhamondre Stevenson",NE,"11","2 out of 5 stars","-3"
"14",3,"Aaron Jones",GB,"6","4 out of 5 stars","+3"
"15",3,"Kenneth Walker III",SEA,"5","2 out of 5 stars","+3"
"16",4,"Jahmyr Gibbs",DET,"9","5 out of 5 stars","0"
"17",4,"Breece Hall",NYJ,"7","3 out of 5 stars","-3"
"18",4,"Miles Sanders",CAR,"7","4 out of 5 stars","+2"
"19",4,"J.K. Dobbins",BAL,"13","3 out of 5 stars","+3"
"20",4,"Cam Akers",LAR,"10","3 out of 5 stars","+3"
"21",4,"Alexander Mattison",MIN,"13","5 out of 5 stars","-2"
"22",4,"Dameon Pierce",HOU,"7","3 out of 5 stars","-7"
"23",4,"James Conner",ARI,"14","3 out of 5 stars","-2"
"24",5,"David Montgomery",DET,"9","5 out of 5 stars","+3"
"25",5,"Isiah Pacheco",KC,"10","4 out of 5 stars","+3"
"26",5,"Rachaad White",TB,"5","3 out of 5 stars","+3"
"27",5,"Javonte Williams",DEN,"9","4 out of 5 stars","-2"
"28",5,"James Cook",BUF,"13","2 out of 5 stars","+2"
"29",5,"Alvin Kamara",NO,"11","4 out of 5 stars","-3"
"30",5,"D'Andre Swift",PHI,"10","1 out of 5 stars","-6"
"31",5,"Dalvin Cook",NYJ,"7","3 out of 5 stars","+1"
"32",5,"Khalil Herbert",CHI,"13","5 out of 5 stars","+4"
"33",5,"Brian Robinson Jr.",WAS,"14","3 out of 5 stars","-2"
"34",5,"AJ Dillon",GB,"6","4 out of 5 stars","-1"
"35",5,"Rashaad Penny",PHI,"10","1 out of 5 stars","0"
"36",5,"Antonio Gibson",WAS,"14","3 out of 5 stars","-2"
"37",5,"Jamaal Williams",NO,"11","4 out of 5 stars","0"
"38",6,"Samaje Perine",DEN,"9","4 out of 5 stars","+2"
"39",6,"Zach Charbonnet",SEA,"5","2 out of 5 stars","-1"
"40",6,"Elijah Mitchell",SF,"9","4 out of 5 stars","+3"
"41",6,"Damien Harris",BUF,"13","2 out of 5 stars","0"
"42",6,"Tyler Allgeier",ATL,"11","4 out of 5 stars","+3"
"43",6,"De'Von Achane",MIA,"10","1 out of 5 stars","-4"
"44",6,"Jeff Wilson Jr.",MIA,"10","1 out of 5 stars","+9"
"45",6,"Raheem Mostert",MIA,"10","1 out of 5 stars","+2"
"46",6,"Jerick McKinnon",KC,"10","4 out of 5 stars","-4"
"47",6,"D'Onta Foreman",CHI,"13","5 out of 5 stars","-3"
"48",6,"Devin Singletary",HOU,"7","3 out of 5 stars","0"
"49",6,"Jaylen Warren",PIT,"6","3 out of 5 stars","0"
"50",6,"Kenneth Gainwell",PHI,"10","1 out of 5 stars","+6"
"51",6,"Tank Bigsby",JAC,"9","2 out of 5 stars","-5"
"52",6,"Ezekiel Elliott",NE,"11","2 out of 5 stars","-1"
"53",6,"Kendre Miller",NO,"11","4 out of 5 stars","-3"
"54",6,"Gus Edwards",BAL,"13","3 out of 5 stars","+6"
"55",7,"Roschon Johnson",CHI,"13","5 out of 5 stars","-3"
"56",7,"Jerome Ford",CLE,"5","3 out of 5 stars","+2"
"57",7,"Chuba Hubbard",CAR,"7","4 out of 5 stars","-2"
"58",7,"Zamir White",LV,"13","3 out of 5 stars","+3"
"59",7,"Clyde Edwards-Helaire",KC,"10","4 out of 5 stars","+3"
"60",7,"Cordarrelle Patterson",ATL,"11","4 out of 5 stars","+4"
"61",7,"Joshua Kelley",LAC,"5","3 out of 5 stars","+7"
"62",7,"Tyjae Spears",TEN,"7","4 out of 5 stars","-5"
"63",7,"Michael Carter",NYJ,"7","3 out of 5 stars","+3"
"64",7,"Chase Edmonds",TB,"5","3 out of 5 stars","+12"
"65",7,"Leonard Fournette",FA,"-","-","-6"
"66",7,"Pierre Strong Jr.",NE,"11","2 out of 5 stars","+5"
"67",7,"Zach Evans",LAR,"10","3 out of 5 stars","+2"
"68",7,"Kareem Hunt",FA,"-","-","-14"
"69",7,"Kyren Williams",LAR,"10","3 out of 5 stars","+6"
"70",8,"Chase Brown",CIN,"7","3 out of 5 stars","-7"
"71",8,"Isaiah Spiller",LAC,"5","3 out of 5 stars","+21"
"72",8,"Israel Abanikanda",NYJ,"7","3 out of 5 stars","+2"
"73",8,"Zack Moss",IND,"11","3 out of 5 stars","+8"
"74",8,"Boston Scott",PHI,"10","1 out of 5 stars","-"
"75",8,"Latavius Murray",BUF,"13","2 out of 5 stars","+8"
"76",8,"Ty Chandler",MIN,"13","5 out of 5 stars","-9"
"77",8,"Matt Breida",NYG,"13","2 out of 5 stars","+17"
"78",8,"Zonovan Knight",NYJ,"7","3 out of 5 stars","-"
"79",8,"D'Ernest Johnson",JAC,"9","2 out of 5 stars","+9"
"80",8,"DeWayne McBride",MIN,"13","5 out of 5 stars","-8"
"81",8,"Jordan Mason",SF,"9","4 out of 5 stars","+16"
"82",8,"Malik Davis",DAL,"7","3 out of 5 stars","-3"
"83",8,"Evan Hull",IND,"11","3 out of 5 stars","-5"
"84",8,"Deuce Vaughn",DAL,"7","3 out of 5 stars","-19"
"85",8,"Ronald Jones II",DAL,"7","3 out of 5 stars","+1"
"86",8,"JaMycal Hasty",JAC,"9","2 out of 5 stars","-"
"87",8,"Keaontay Ingram",ARI,"14","3 out of 5 stars","-7"
"88",8,"Sean Tucker",TB,"5","3 out of 5 stars","-18"
"89",8,"James Robinson",NYG,"13","2 out of 5 stars","-7"
"90",8,"Tyrion Davis-Price",SF,"9","4 out of 5 stars","+11"
"91",8,"Chris Evans",CIN,"7","3 out of 5 stars","+8"
